county_fips,county_name,low_birth_weight_pct,uninsured_count,uninsured_chr_pct,primary_care_physicians_count,primary_care_physicians_rate,primary_care_physicians_ratio,mental_health_providers_count,mental_health_providers_rate,mental_health_providers_ratio,severe_housing_problems_pct,severe_housing_cost_burden_pct,children_in_poverty_pct,food_environment_index,broadband_access_pct,broadband_access_count,child_care_cost_burden_pct
28099,Neshoba,9,3422,15,16.0,55.0,1812:01:00,40.0,139.0,720:01:00,15,9,28,6.4,78,8057,25
28101,Newton,12,2139,13,3.0,14.0,7019:01:00,6.0,29.0,3503:01:00,10,7,24,6.1,69,5337,25
28103,Noxubee,13,1229,16,1.0,10.0,10123:1,22.0,222.0,451:01:00,16,12,37,6.7,69,2599,33
28105,Oktibbeha,12,5094,13,21.0,41.0,2469:01:00,129.0,252.0,397:01:00,21,21,25,5.4,84,17825,24
28107,Panola,13,3718,14,7.0,21.0,4693:01:00,37.0,113.0,883:01:00,11,10,36,6.4,75,9313,26
28109,Pearl River,10,6850,15,14.0,25.0,4036:01:00,36.0,62.0,1611:01:00,12,9,23,6.7,83,17867,22
28111,Perry,8,1204,13,1.0,9.0,11571:1,10.0,88.0,1132:01:00,8,4,28,5.5,75,3407,34
28113,Pike,14,4491,15,15.0,38.0,2665:01:00,187.0,475.0,211:01:00,16,15,34,6.1,76,11504,29
28115,Pontotoc,10,3953,15,6.0,19.0,5241:01:00,13.0,41.0,2426:01:00,9,5,19,6.7,73,8582,23
28117,Prentiss,12,2486,13,8.0,32.0,3125:01:00,38.0,151.0,661:01:00,8,6,24,7.1,79,7367,24
28119,Quitman,17,668,15,,,,2.0,36.0,2773:01:00,17,14,46,0.4,67,1769,35
28121,Rankin,10,13924,11,89.0,56.0,1776:01:00,404.0,252.0,397:01:00,10,8,11,7.5,91,54537,21
28123,Scott,13,3472,15,5.0,18.0,5520:01:00,15.0,55.0,1834:01:00,12,10,28,5.6,75,7206,25
28125,Sharkey,15,358,14,1.0,27.0,3663:01:00,1.0,30.0,3336:01:00,11,6,52,6.5,57,791,33
28127,Simpson,12,2857,14,8.0,31.0,3219:01:00,32.0,124.0,804:01:00,11,8,28,7.0,77,7379,29
28129,Smith,11,1519,14,1.0,7.0,14191:1,2.0,14.0,7050:01:00,9,6,24,6.9,58,3127,23
28131,Stone,11,2173,15,6.0,32.0,3107:01:00,8.0,43.0,2345:01:00,15,11,22,5.6,79,5222,27
28133,Sunflower,15,2193,13,9.0,35.0,2822:01:00,9.0,37.0,2719:01:00,16,14,40,4.6,70,5672,28
28135,Tallahatchie,14,1138,14,1.0,8.0,12366:1,6.0,51.0,1973:01:00,12,10,40,4.1,67,2886,29
28137,Tate,10,2977,13,7.0,25.0,4033:01:00,13.0,46.0,2174:01:00,14,10,20,6.3,84,8970,25
28139,Tippah,10,2896,17,2.0,9.0,10818:1,28.0,132.0,760:01:00,14,10,26,6.9,80,6348,23
28141,Tishomingo,11,2422,17,5.0,27.0,3750:01:00,21.0,113.0,881:01:00,17,14,18,,74,6404,26
28143,Tunica,15,934,12,1.0,10.0,9696:01:00,3.0,32.0,3078:01:00,33,24,42,6.4,84,3011,39
28145,Union,10,3111,13,10.0,36.0,2795:01:00,12.0,42.0,2357:01:00,11,9,20,7.1,78,7759,22
28147,Walthall,11,1756,16,7.0,51.0,1977:01:00,1.0,7.0,13863:1,20,15,31,6.0,78,4229,25
28149,Warren,14,3946,12,29.0,67.0,1503:01:00,263.0,622.0,161:01:00,15,13,32,6.8,81,13558,21
28151,Washington,14,4648,14,18.0,41.0,2427:01:00,77.0,184.0,545:01:00,21,19,47,4.8,55,9522,31
28153,Wayne,14,2564,16,6.0,30.0,3285:01:00,13.0,66.0,1516:01:00,10,8,31,6.5,80,5965,27
28155,Webster,13,1154,14,4.0,40.0,2496:01:00,11.0,110.0,908:01:00,9,9,23,7.0,81,3304,22
28157,Wilkinson,14,701,13,3.0,36.0,2772:01:00,3.0,37.0,2686:01:00,11,11,37,6.5,73,2510,34
28159,Winston,13,1817,14,5.0,28.0,3519:01:00,35.0,201.0,498:01:00,14,12,42,5.8,76,5379,25
28161,Yalobusha,13,1103,12,1.0,8.0,12415:1,4.0,32.0,3097:01:00,12,8,28,6.5,76,3832,24
28163,Yazoo,15,2265,13,6.0,23.0,4396:01:00,55.0,213.0,469:01:00,15,12,34,4.6,74,6540,37
