county_fips,county_name,svi_population,poverty_150_pct,unemployment_svi_pct,uninsured_svi_pct,disability_pct,single_parent_pct,no_vehicle_pct,no_internet_pct,svi_socioeconomic,svi_household,svi_minority_language,svi_housing_transportation,svi_overall
28095,Monroe County,34168,30.3,5.5,10.5,14.0,7.1,5.1,16.6,0.1235,0.2099,0.2469,0.037,0.0741
28097,Montgomery County,9803,42.9,7.8,9.7,21.2,7.7,8.6,28.1,0.7778,0.4938,0.5679,0.6667,0.7407
28099,Neshoba County,28970,40.5,9.3,12.7,18.1,8.6,8.3,24.3,0.6296,0.716,0.4815,0.8519,0.716
28101,Newton County,21275,34.4,4.3,14.3,20.9,6.9,5.5,30.0,0.2346,0.1852,0.4444,0.2346,0.1852
28103,Noxubee County,10261,37.2,9.3,18.7,24.5,19.2,7.1,30.1,0.8765,0.9753,0.8642,0.4444,0.9136
28105,Oktibbeha County,51388,39.8,6.8,7.9,10.8,7.2,4.9,19.0,0.4691,0.0247,0.5185,0.5432,0.2099
28107,Panola County,33157,37.1,9.5,13.6,17.7,9.8,5.3,28.1,0.7901,0.2593,0.679,0.321,0.6049
28109,Pearl River County,56351,26.3,5.6,13.1,20.7,6.6,2.9,19.5,0.2099,0.5802,0.0617,0.0864,0.1481
28111,Perry County,11511,35.2,6.3,14.1,29.5,8.1,4.5,25.0,0.3457,0.4691,0.0988,0.3457,0.321
28113,Pike County,40098,40.8,7.2,12.7,18.9,8.8,6.8,22.4,0.7531,0.5926,0.7284,0.9136,0.8395
28115,Pontotoc County,31202,28.1,2.9,12.0,18.5,5.5,3.3,27.4,0.1852,0.5679,0.1481,0.2099,0.1728
28117,Prentiss County,24945,31.2,5.0,8.8,18.0,9.2,5.9,21.2,0.0741,0.5062,0.0741,0.4074,0.1235
28119,Quitman County,6113,47.8,12.2,15.8,17.0,7.9,14.6,36.6,0.9877,0.0864,0.8765,0.7778,0.8519
28121,Rankin County,157185,15.7,4.4,9.3,13.8,7.0,2.4,10.7,0.0,0.0617,0.1728,0.1728,0.0123
28123,Scott County,27943,40.7,6.0,13.3,19.6,13.8,8.1,25.2,0.6667,0.9877,0.642,0.4691,0.7531
28125,Sharkey County,3910,49.1,12.8,20.3,21.6,11.6,15.1,41.3,0.9753,0.7037,0.8519,0.9136,0.9383
28127,Simpson County,25889,27.8,6.0,12.7,20.0,6.4,4.4,26.9,0.4198,0.5185,0.3951,0.1111,0.2963
28129,Smith County,14310,32.1,3.5,15.0,20.5,8.1,6.8,45.3,0.2593,0.642,0.1605,0.4938,0.358
28131,Stone County,18360,30.5,8.1,12.5,21.9,7.2,6.9,25.7,0.2469,0.2963,0.1358,0.8889,0.4074
28133,Sunflower County,25867,41.8,11.1,11.6,14.7,14.0,9.3,31.9,0.8519,0.2963,0.9136,0.716,0.8272
28135,Tallahatchie County,12621,40.0,11.0,15.9,16.4,9.7,10.8,33.3,0.9136,0.1975,0.7778,0.7531,0.8148
28137,Tate County,28094,28.3,7.2,12.9,15.5,8.3,4.0,20.0,0.5802,0.1728,0.2716,0.8025,0.5185
28139,Tippah County,21769,33.6,6.0,14.2,20.9,6.4,3.7,26.2,0.679,0.6543,0.1235,0.6173,0.6296
28141,Tishomingo County,18837,32.8,3.5,12.0,21.9,6.3,5.0,28.5,0.3827,0.7778,0.0,0.1605,0.3333
